common_name,scientific_name,species_group,esa_status,foreign_or_domestic,image_url,image_url_full,location,country,food,habitat_requirements,home_range,cause,reproduction,description,status_code
Blowout penstemon,Penstemon haydenii,Flowering Plants,Endangered,Domestic,/docs/species_images/doc5115.jpg,https://ecos.fws.gov/docs/species_images/doc5115.jpg,"POLYGON((-107.487484775872 40.9714834406211,-107.487484775872 42.8884105501762,-99.1142921203073 42.8884105501762,-99.1142921203073 40.9714834406211,-107.487484775872 40.9714834406211))",United States,No information available,"Blowout penstemon is a short-lived perennial plant, native to shifting sand and requiring moving sand in blowouts or sand ridges (in Wyoming) to thrive.  The common name of the blowout penstemon comes from the blowouts in the Sandhills of Nebraska.  Blowouts are round or conical eroded areas, depressions formed in the sand when prevailing northwesterly winds scoop out the sides of the hills (Pool 1914 in Kottas 2008).  These eroded areas form on the sides of dunes when vegetative cover is removed or disturbed and wind action further exposes the slopes (Stubbendieck et al. 1989).  Blowout penstmeon is a pioneer species in these blowouts, frequently found among blowout grass [Redfieldia flexuosa (Thurb.) Vasey], which is often the first pioneer in a blowout (Kottas 2008).  Neither blowout grass nor blowout penstemon persist after other grasses begin to invade the blowout. The amount of suitable, active blowout habitat has declined markedly since settlement of the Sandhills region in the early 20th century.  


Kottas, K.L. 2008. Life history and modeling of an endangered plant, Penstemon haydenii. Ph.D. Dissertation. University of Nebraska, Lincoln. 282 pp.

Pool, R. J. 1914. A study of the vegetation of the Sandhills of Nebraska. Minnesota Botanical Studies 4:188-312.

Stubbendieck, J. T.R. Flessner, and R.R. Weedon. 1989. Blowouts in the Nebraska Sandhills: The habitat of Penstemon haydenii.  In Proceedings of the Eleventh North American Prairie Conference, ed. T.B. Bragg and Stubbendieck, 223-25. Lincoln, NE: University of Nebraska-Lincoln. 

",No information available,"The genus Penstemon is endemic to North America.  Of 275 species in the Penstemon genus, the blowout penstemon and only one other species are fragrant (Kottas 2008).  Blowout penstemon often is confused with shell-leaf penstemon (Penstemon grandiflorus) and narrow penstemon (Penstemon angustifolius), which also grow in the Nebraska Sandhills.  The color of narrow penstemon flowers is similar to blowout penstemon, but the size is only 1 inch long.  The flowers of shell-leaf penstemon are similar to blowout penstemon in size and color, but its leaves are spatula- or egg-shaped with the broades part above the middle.  Both the narrow and shell-leaf penstemons are common in denser vegetation along roadsides in the Sandhills, while the blowout penstemon is only found in blowouts and among very sparse vegetation (Stubbendieck et al., 1997).
 

Kottas, K.L. 2008. Life history and modeling of an endangered plant, Penstemon haydenii. Ph.D. Dissertation. University of Nebraska, Lincoln. 282 pp.

Stubbendieck, J., J. A. Lamphere, and J. B. Fitzgerald. 1997. Nebraska's Threatened and Endangered Species: Blowout Penstemon. NebraskaLand Magazine brochure series. Nebraska Game and Parks Commission, Lincoln, Nebraska.  

","Blowout penstemon is a short-lived perennial plant, native to shifting sand and requiring moving sand in blowouts or sand ridges (in Wyoming) to thrive.  It grows from a tap root, initially producing a single stem, that often becomes decumbent. The stem roots readily where nodes are buried in the sand. Buds at the base of the stem break dormancy in the second spring, often producing multi-stemmed plants.  These plants typically flower in the second or third year (Kottas 2008), and individual plants live for six to eight years (Stubbendieck et al. 1997).  The lavender (or occasionally blue or white) flowers produce two-sided capsules (ovaries) bearing 25 to 35 discoid brown to black seeds (Fritz et al. 1992), although productivity of 14 seeds per capsule was found by Kottas (2008).  Seeds have a thick, hard seed coat and germination in the field is typically very low.  The seeds are adapted to dispersal by wind, which often distributes seed downwind across the edge of the blowout into the area of sand accumulation. Wind and animals aid in the seed dispersal. 

Seed numbers are highly variable among years and sites (Kottas 2008). Individual plants may produce approximately 1,400 to1,500 seeds (Kottas 2008; Fritz et al. 1992), but seed viability can reduce reproductive potential to an average of approximately 530 viable seeds per plant (Kottas 2008).  The number of seeds in the seedbank is typically low, due mainly to predation by small mammals at the time of seed rain (Kottas 2008; Stubbendieck, pers comm.).  Kottas (2008) investigated the effects of floral herbivory by insects and fungal infection on seed production and viability.  She reported that treatments of plants with insecticide or fungicide did not significantly affect total seed output, weight or viability (Kottas 2008).   Consequently, site specific herbivore, granivore and fungal impacts may be important when seed production is low or when the surrounding vegetation invades blowout penstemon habitat, bringing additional herbivory with it (Kottas 2008).  

Observations of seedlings in natural populations are rare.  The sand must remain damp for a period of two weeks at the appropriate time in the spring for the seeds to germinate and for the roots of seedlings to reach a depth where moisture is available constantly.  These limiting conditions are only met in one out of eight or ten years (Stubbendieck et al. 1997).  Yet, the blowout penstemon has a relatively short lifespan of six to eight years due to the species adaptation to constantly moving habitat and because the plant is an early successional species.  Therefore, even in blowouts where many seeds are produced, seedlings are rare. (Stubbendieck et al. 1997).


Fritz, et al. 1992. Blowout Penstemon (Penstemon haydenii) Recovery Plan.  U.S. Fish and Wildlife Service, Denver, Colorado. 40 pp.

Kottas, K.L. 2008. Life history and modeling of an endangered plant, Penstemon haydenii. Ph.D. Dissertation. University of Nebraska, Lincoln. 282 pp.

Stubbendieck, J., J.B. Fitzgerald, D.T. Lindgren, and J.A. Lamphere. 1997. Penstemon haydenii: an update on an endangered species.  Bulletin of the American Penstemon Society. Vol 56: 3-7.


","Blowout penstemon is a short-lived perennial, frequently occurring in large, multi-stemmed clumps containing flowering and vegetative stems. Vegetative stems are commonly up to 1 foot tall, but can sometimes reach nearly 2 feet.  Vegetative stems are lax and curved upward from the base.  Plants often root from stem nodes if stem nodes are buried in sand.  The opposite, linear leaves are lax, 1 to 8 inches long and 1/4 inch to 1 inch wide, and are attached directly to the stem with no petiole.  

The leaves are greenish-blue and waxy, with no hairs, parallel veins and smooth edges.  The flowering stems are stout, up to about 1/2 inch in diameter, and usually 6 to 18 inches tall.  Leaves on the flowering stems are up to 3 inches wide, lance-shaped and stiff.  

The flowering head is cylindrical with 16 to 80 flowers arranged in several whorls.  Each whorl is located directly above a pair of stiff, overlapping, leaf-like bracts.  The bracts are longer than they are wide with heart-shaped bases.  The individual flowers are comprised of a 1 to 1-1/2 inches long, tube-shaped corolla that is milky blue, milky lavender or, rarely, white or pink. The upper lip of the corolla has 2 lobes; the lower lip has 3 lobes.  Distinct magenta lines inside the corolla guide insects to the nectar.


Source:  Stubbendieck, J., J. A. Lamphere, and J. B. Fitzgerald. 1997. Nebraska's Threatened and Endangered Species: Blowout Penstemon. NebraskaLand Magazine brochure series. Nebraska Game and Parks Commission, Lincoln, Nebraska.   ",200
Bull Trout,Salvelinus confluentus,Fishes,Threatened,Domestic,/docs/species_images/doc4350.jpg,https://ecos.fws.gov/docs/species_images/doc4350.jpg,"POLYGON((-124.68087042312 41.7666660308885,-124.68087042312 49.0001263459992,-112.325441125253 49.0001263459992,-112.325441125253 41.7666660308885,-124.68087042312 41.7666660308885))",United States,No information available,No information available,No information available,No information available,No information available,"Bull trout (Salvelinus confluentus) are members of the family Salmonidae and are char native Washington, Oregon, Idaho, Nevada, Montana and western Canada. Compared to other salmonids, bull trout have more specific habitat requirements that appear to influence their distribution and abundance. They need cold water to survive, so they are seldom found in waters where temperatures exceed 59 to 64 degrees (F). They also require stable stream channels, clean spawning and rearing gravel, complex and diverse cover, and unblocked migratory corridors. Bull trout may be distinguished from brook trout (Salvelinus fontinalis) by several characteristics: spots never appear on the dorsal (back) fin, and the spots that rest on the fish's olive green to bronze back are pale yellow, orange or salmon-colored. The bull trout's tail is not deeply forked as is the case with lake trout (Salvelinus namaycush). Bull trout exhibit two forms: resident and migratory. Resident bull trout spend their entire lives in the same stream/creek. Migratory bull trout move to larger bodies of water to overwinter and then migrate back to smaller waters to reproduce. An anadromous form of bull trout also exists in the Coastal-Puget Sound population, which spawns in rivers and streams but rears young in the ocean. Resident and juvenile bull trout prey on invertebrates and small fish. Adult migratory bull trout primarily eat fish. Resident bull trout range up to 10 inches long and migratory forms may range up to 35 inches and up to 32 pounds. Bull trout are currently listed coterminously as a threatened species. ",200
California clapper rail,Rallus longirostris obsoletus,Birds,Endangered,Domestic,/docs/species_images/doc4933.jpg,https://ecos.fws.gov/docs/species_images/doc4933.jpg,"POLYGON((-124.409622506738 35.2499592182251,-124.409622506738 40.9998592994443,-120.751014149404 40.9998592994443,-120.751014149404 35.2499592182251,-124.409622506738 35.2499592182251))",United States,No information available,No information available,No information available,No information available,No information available,"The California clapper rail (Rallus longirostris obsoletus) is one of the largest rails (family Rallidae), measuring 13-19 inches from bill to tail. It is characterized by its hen-like appearance, a long, slightly downward-curving bill, olive-brown upper parts, a cinnamon-buff colored breast, dark flanks crossed by white bars and white undertail coverts which are often exposed when the bird is agitated.

",200
California condor,Gymnogyps californianus,Birds,Endangered,Both Domestic and Foreign,/docs/species_images/doc4974.jpg,https://ecos.fws.gov/docs/species_images/doc4974.jpg,"POLYGON((-121.976289971402 34.0022800000926,-121.976289971402 38.7132093280304,-109.041551235843 38.7132093280304,-109.041551235843 34.0022800000926,-121.976289971402 34.0022800000926))",United States,No information available,No information available,No information available,No information available,No information available,117-134 cm. Huge and unmistakable. Black with white wing-linings and silvery panel on upper secondaries. Head naked and orange/red. Immatures with black head and underwing mottled dark. Soars on horizontal wings with primaries curled up.,200
California least tern,Sterna antillarum browni,Birds,Endangered,Both Domestic and Foreign,/docs/species_images/doc4943.jpg,https://ecos.fws.gov/docs/species_images/doc4943.jpg,"POLYGON((-123.021419992981 31.4267894936199,-123.021419992981 38.3749139176623,-110.44729333334 38.3749139176623,-110.44729333334 31.4267894936199,-123.021419992981 31.4267894936199))",United States,No information available,No information available,No information available,No information available,No information available,"Long, narrow wings and a broad, forked tail identify the California least tern. Also have black-capped head and black-tipped, pale gray wings of the least tern contrast with its white body. It bears a white blaze across its forehead, dark forewings, black-tipped yellow bill, and yellowish feet. Is less the 25 cm when full grown and has 75 cm wingspan. 
",200
California red-legged frog,Rana draytonii,Amphibians,Threatened,Both Domestic and Foreign,/docs/species_images/doc1755.jpg,https://ecos.fws.gov/docs/species_images/doc1755.jpg,"POLYGON((-123.773147003062 34.0317227853568,-123.773147003062 40.6023598238728,-118.05196544424 40.6023598238728,-118.05196544424 34.0317227853568,-123.773147003062 34.0317227853568))",United States,No information available,"The California red-legged frog requires a variety of habitat elements with aquatic breeding areas embedded within a matrix of riparian and upland dispersal habitats. Breeding sites of the California red-legged frog are in aquatic habitats including pools and backwaters within streams and creeks, ponds, marshes, springs, sag ponds, dune ponds and lagoons. Additionally, California red-legged frogs frequently breed in artificial impoundments such as stock ponds.",No information available,No information available,No information available,"This species occurs from sea level to elevations of about 1,500 meters (5,200 feet). It has been extirpated from 70 percent of its former range and now is found primarily in coastal drainages of central California, from Marin County,California, south to northern Baja California, Mexico. Potential threats to the species include elimination or degradation of habitat from land development and land use activities and habitat invasion by non-native aquatic species.",200
Bunched arrowhead,Sagittaria fasciculata,Flowering Plants,Endangered,Domestic,/docs/species_images/doc5083.jpg,https://ecos.fws.gov/docs/species_images/doc5083.jpg,"POLYGON((-82.7644739977082 34.4840436671248,-82.7644739977082 35.5002183322522,-82.1470770175834 35.5002183322522,-82.1470770175834 34.4840436671248,-82.7644739977082 34.4840436671248))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Barton Springs salamander,Eurycea sosorum,Amphibians,Endangered,Domestic,/docs/species_images/doc4887.jpg,https://ecos.fws.gov/docs/species_images/doc4887.jpg,"POLYGON((-98.2976810441415 30.0467406970601,-98.2976810441415 30.3581771629692,-97.7525890766706 30.3581771629692,-97.7525890766706 30.0467406970601,-98.2976810441415 30.0467406970601))",United States,No information available,No information available,No information available,No information available,No information available,"Barton Springs salamanders have slender bodies with elongated limbs, flattened snouts, and three pairs of bright red external gills. They have four toes on their front feet and five on their hind feet; they also have short, finned tails with single orange-yellow stripes. The small amphibians vary in size from 1 to 2.5 inches long as adults, and are anywhere from pale purplish brown to yellowish cream in color, always with olive brown mottling. 
",200
Black warrior (=Sipsey Fork) Waterdog,Necturus alabamensis,Amphibians,Endangered,Domestic,/docs/species_images/doc1749.jpg,https://ecos.fws.gov/docs/species_images/doc1749.jpg,"POLYGON((-87.7980098644164 33.0749638196626,-87.7980098644164 34.4355099359701,-86.1347198268205 34.4355099359701,-86.1347198268205 33.0749638196626,-87.7980098644164 33.0749638196626))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Black tern,Chlidonias niger,Birds,Species of Concern,Both Domestic and Foreign,/docs/species_images/doc5430.jpg,https://ecos.fws.gov/docs/species_images/doc5430.jpg,"POLYGON((-129.16365605858 30.5420892837935,-129.16365605858 49.3843602898955,-66.8850754369818 49.3843602898955,-66.8850754369818 30.5420892837935,-129.16365605858 30.5420892837935))",Canada,No information available,No information available,No information available,No information available,No information available,No information available,200
Beach layia,Layia carnosa,Flowering Plants,Endangered,Domestic,/docs/species_images/doc6764.jpg,https://ecos.fws.gov/docs/species_images/doc6764.jpg,"POLYGON((-124.25001 34.5051278460878,-124.25001 41.3750059766646,-120.499998046671 41.3750059766646,-120.499998046671 34.5051278460878,-124.25001 34.5051278460878))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Beautiful goetzea,Goetzea elegans,Flowering Plants,Endangered,Domestic,/docs/species_images/doc5059.jpg,https://ecos.fws.gov/docs/species_images/doc5059.jpg,"POLYGON((-67.9541549925133 17.8812303342594,-67.9541549925133 18.5160248668666,-65.2211146710666 18.5160248668666,-65.2211146710666 17.8812303342594,-67.9541549925133 17.8812303342594))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Beautiful shiner,Cyprinella formosa,Fishes,Threatened,Both Domestic and Foreign,/docs/species_images/doc4862.jpg,https://ecos.fws.gov/docs/species_images/doc4862.jpg,"POLYGON((-109.37501 31.3330317306096,-109.37501 33.2096559999208,-107.296337666572 33.2096559999208,-107.296337666572 31.3330317306096,-109.37501 31.3330317306096))",United States,No information available,No information available,No information available,No information available,No information available,"The beautiful shiner inhabits small streams and ponds in the Rio Yaqui drainage of Arizona and Mexico.  It was historically found in the Mimbres drainage in New Mexico.  The male shiner in breeding colors, with yellow-orange or orange fins and a bluish body. ",200
Behren's silverspot butterfly,Speyeria zerene behrensii,Insects,Endangered,Domestic,/docs/species_images/doc6763.jpg,https://ecos.fws.gov/docs/species_images/doc6763.jpg,"POLYGON((-123.826633620732 38.3748964415396,-123.826633620732 39.4991568490376,-123.001100260664 39.4991568490376,-123.001100260664 38.3748964415396,-123.826633620732 38.3748964415396))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Benton County cave crayfish,Cambarus aculabrum,Crustaceans,Endangered,Domestic,/docs/species_images/doc4814.jpg,https://ecos.fws.gov/docs/species_images/doc4814.jpg,"POLYGON((-94.6183172147273 35.7558735208569,-94.6183172147273 36.7665799791881,-93.8575098243572 36.7665799791881,-93.8575098243572 35.7558735208569,-94.6183172147273 35.7558735208569))",United States,"Graening (2002, 2005) provides the first analysis of trophic structure of five
Ozark cave streams, including Bear Hollow and Logan Caves. Graening (2000)
and Graening and Brown (2003) hypothesized that three trophic levels are normal
for cave stream food webs: 1) a food base of benthic detritus; 2) a guild of
invertebrate consumers such as isopods, crayfish, and amphipods; and 3) and
8 predators (fish). This hypothesis was further supported by Graening (2002,
2005). Fine benthic organic matter in sediments appears to sustain crustacean
detritivores such as C. aculabrum (Graening 2005).","The type locality, Logan Cave, is a dendritic stream channel cave
located in the Mississippian cherty-limestone, Boone Formation of the Springfield Plateau (Hobbs and Brown 1987). The stream is approximately one kilometer (km) (4,000 feet [ft]) in length with a recharge area of 30.1 km2 (11.6 square miles [mi]). The entire recharge area minus 123 acres, which includes the cave entrances, is privately owned (Aley and Aley 1987). The Service manages the 123-acre tract under its NWR system (Logan Cave NWR).","Little is known about C. aculabrum movements within groundwater systems. This species is known from Logan Cave, Bear Hollow Cave, Old Pendergrass Cave and a recharge area near Elm Springs with no surface access. ",Unkown,Very little is known about C. aculabrum life history and ecology. Life history and ecology studies have not been conducted due to the imminent harm that such studies pose to a cryptic species with very low population numbers. Males are reproductively active during October through February (Hobbs and Brown 1987). No females carrying eggs and young have been observed during surveys.,"Cambarus aculabrum is a small, white, troglobitic crayfish with an overall body length reaching about 48 millimeters (1 .8 inches). This species is distinguished from related surface (epigean) species by a total lack of pigment, and by reduced eyes. It is distinguished from its closest troglobitic relatives by an acute or subacute apex of the anteromedian lobe of the epistorne. First form males (those with fully formed and hardened first pleopods, or reproductive appendages) are further separated from the closely related troglobitic species, C. setosus and C. tartarus, by the absence of a transverse groove separating the proximolateral lobe from the shaft on the first pleopod. It differs from first form males of another closely related cave species, C. zophonastes, by a longer central projection of the first pleopod which also has a shallow subapical notch (Hobbs and Brown 1987). Recent studies indicate that C. aculabrum is genetically distinct from the other cave crayfish species (Koppelman 1990, Koppelnian and Figg 1995).",200
Black toad,Bufo exsul,Amphibians,Species of Concern,Domestic,/docs/species_images/doc3745.jpg,https://ecos.fws.gov/docs/species_images/doc3745.jpg,"POLYGON((-129.01274688566 30.5420892837935,-129.01274688566 42.0079877116636,-114.13082893091 42.0079877116636,-114.13082893091 30.5420892837935,-129.01274688566 30.5420892837935))",United States,No information available,No information available,No information available,No information available,No information available,No Description Available,200
Big Bend gambusia,Gambusia gaigei,Fishes,Endangered,Domestic,/docs/species_images/doc4889.jpg,https://ecos.fws.gov/docs/species_images/doc4889.jpg,"POLYGON((-103.80068999791 28.971536000553,-103.80068999791 30.6659503330603,-102.321011001889 30.6659503330603,-102.321011001889 28.971536000553,-103.80068999791 28.971536000553))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Black-capped petrel,Pterodroma hasitata,Birds,Threatened,Domestic,/docs/species_images/doc5520.jpg,https://ecos.fws.gov/docs/species_images/doc5520.jpg,"POLYGON((-85.605165962739 30.3556437338713,-85.605165962739 36.5520931413854,-75.4001196937688 36.5520931413854,-75.4001196937688 30.3556437338713,-85.605165962739 30.3556437338713))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Black-footed ferret,Mustela nigripes,Mammals,Endangered,Both Domestic and Foreign,/docs/species_images/doc5012.jpg,https://ecos.fws.gov/docs/species_images/doc5012.jpg,"POLYGON((-113.294557514114 35.0206116767629,-113.294557514114 45.6906633629866,-99.3458579995708 45.6906633629866,-99.3458579995708 35.0206116767629,-113.294557514114 35.0206116767629))",United States,No information available,No information available,No information available,No information available,No information available," The black-footed ferret is 18 to 24 inches long, including a 5 to 6 inch tail. It weighs only one-and-a-half to two-and-a-half pounds, with males slightly larger than females. The black-footed ferret is well adapted to its prairie environment. Its color and markings blend so well with grassland soils and plants, that it is hard to detect until it moves. It is a slender, wiry animal with a black face mask, black feet, and a black-tipped tail. The rest of its short, sleek fur is a yellow-buff color, lighter on the belly and nearly white on the forehead, muzzle, and throat. It has short legs with large front paws and claws developed for digging. The ferret's large ears and eyes suggest it has acute hearing and sight, but smell is probably its most important sense for hunting prey underground in the dark.",200
Black pine snake,Pituophis melanoleucus lodingi,Reptiles,Threatened,Domestic,/docs/species_images/doc5680.jpg,https://ecos.fws.gov/docs/species_images/doc5680.jpg,"POLYGON((-90.245201999771 30.1460863724371,-90.245201999771 32.1539093091719,-87.6325547952384 32.1539093091719,-87.6325547952384 30.1460863724371,-90.245201999771 30.1460863724371))",United States,No information available,No information available,No information available,No information available,No information available,Adults average from 48-64 inches (122-163 cm). The record is 89 inches (226 cm). A large stocky snake. Back and belly are uniform (or nearly so) black or dark brown. Faint blotches may be seen on the hindbody or tail. In ,200
Black Rail,Laterallus jamaicensis,Birds,Species of Concern,Domestic,/docs/species_images/doc4671.jpg,https://ecos.fws.gov/docs/species_images/doc4671.jpg,"POLYGON((-109.060416168771 17.4730943476261,-109.060416168771 48.3060631660823,-64.3554922999297 48.3060631660823,-64.3554922999297 17.4730943476261,-109.060416168771 17.4730943476261))",United States,The Black Rail eats small invertebrates and seeds. Their bill shape suggests they use generalized feeding methods such as gleaning or pecking at individual items.,"The Black Rail resides in marsh areas, so the substrate of ideal habitat is moist soil with scattered small pools and dense emergent vegetation.","Black rail breeding occurs along the U.S. Atlantic coast from Connecticut to south Florida, in addition to disjointed occurrences along the coasts of Central America and California. Also, a resident population exists among the foothills of the west slope of the Sierra Nevada range in California. There is little known about spring and fall migration as well as wintering distribution, but it is presumed to be similar to breeding habitat.",Black Rails are impacted largely by the degradation of suitable wetland habitat. The altering of water regimes on the East coast has allowed the common reed (Phragmites australis) to invade higher sections of salt marshes and degrade Black Rail habitat. There is little baseline information to estimate population trends. Coastal populations likely declined between the 1920s and 1970s before enaction of laws protecting coastal wetlands. ,"Nests in high portions of salt marshes, shallow freshwater marshes, wet meadows, and flooded grassy vegetation.","Adult Black Rails are small blackish marshbirds with a black bill which are difficult to see. Juveniles are similar to adults, but are duller and have less distinct spotting and streaking. 
References cited in Species Profile   
 
 Cornell Lab of Ornithology. 2015. Black Rail. All About Birds. http://www.allaboutbirds.org/guide/Black_Rail/id  
 Davidson, L. M. 1992. Black Rail, Laterallus jamaicensis. Pages 119-134 in Migratory nongame birds of management concern in the Northeast. (Schneider, K. J. and D. M. Pence, Eds.) U.S. Fish and Wildl. Serv. Newton Corner, MA.  
 Eddleman, W. R., R. E. Flores and M. Legare. 1994. Black Rail (Laterallus jamaicensis), The Birds of North America Online (A. Poole, Ed.). Ithaca: Cornell Lab of Ornithology; Retrieved from the Birds of North America Online: http://bna.birds.cornell.edu/bna/species/123  
 Eddleman, W. R., F. L. Knopf, B. Meanley, F. A. Reid, and R. Zembal. 1988. Conservation of North American rallids. Wilson Bull. 100:458-475.  
 Evens, J. G., G. W. Page, S. A. Laymon, and R. W. Stallcup. 1991. Distribution, relative abundance, and status of the California Black Rail in western North America. Condor 93:952-966.  
 Hands, H. M., R. D. Drobney, and M. R. Ryan. 1989. Status of the Black Rail in the northcentral United States. U.S. Fish and Wildl. Serv. Twin Cities, MN.  
 Kerlinger, P. and D. S. Wiedner. 1990. Vocal behavior and habitat use of Black Rails in south Jersey. Records of New Jersey Birds 16:58-62.  
 Kerlinger, P. and C. Sutton. 1989. Black Rail in New Jersey. Records of New Jersey Birds 15:22-26.  
 Mcmullen, T. E. 1944. The Black Rail. Cassinia 34:20-21.  
 Richmond, O.M., J. Tecklin, and S.R. Beissinger. 2008. Distribution of California Black Rails in the Sierra Nevada foothills. Journal of Ornithology 79:381-390.  
 Todd, R. L. 1977. Black Rail, Little Black Rail, Black Crake, Farallon Rail (Laterallus jamaicensis). Pages 71-83 in Management of migratory shore and upland game birds in North America. (Sanderson, G. C., Ed.) Intl. Assoc. Fish and Wildl. Agen. Washington, D.C.  
 Weske, J. S. 1969. An ecological study of the Black Rail in Dorchester County, Maryland.Master's Thesis. Cornell Univ. Ithaca, NY. 
",200
Big Creek Crayfish,Faxonius peruncus,Crustaceans,Threatened,Domestic,/docs/species_images/doc6749.jpg,https://ecos.fws.gov/docs/species_images/doc6749.jpg,"POLYGON((-90.7637748991009 36.8964850019994,-90.7637748991009 37.8639449708926,-90.1967650106601 37.8639449708926,-90.1967650106601 36.8964850019994,-90.7637748991009 36.8964850019994))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Eastern Hellbender Missouri DPS,Cryptobranchus alleganiensis alleganiensis,Amphibians,Endangered,Domestic,/docs/species_images/doc6751.jpg,https://ecos.fws.gov/docs/species_images/doc6751.jpg,"POLYGON((-93.2116383923705 37.0325740310097,-93.2116383923705 38.6735728510064,-90.3086607234987 38.6735728510064,-90.3086607234987 37.0325740310097,-93.2116383923705 37.0325740310097))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Laguna Mountains skipper,Pyrgus ruralis lagunae,Insects,Endangered,Domestic,/docs/species_images/doc5158.jpg,https://ecos.fws.gov/docs/species_images/doc5158.jpg,"POLYGON((-116.938369818756 32.8125413021526,-116.938369818756 33.3750443790707,-116.375838302532 33.3750443790707,-116.375838302532 32.8125413021526,-116.938369818756 32.8125413021526))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Laguna Beach liveforever,Dudleya stolonifera,Flowering Plants,Threatened,Domestic,/docs/species_images/doc5147.jpg,https://ecos.fws.gov/docs/species_images/doc5147.jpg,"POLYGON((-117.813398810404 33.5000167715806,-117.813398810404 33.6250327082575,-117.688374977359 33.6250327082575,-117.688374977359 33.5000167715806,-117.813398810404 33.5000167715806))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Kuenzler hedgehog cactus,Echinocereus fendleri var. kuenzleri,Flowering Plants,Threatened,Domestic,/docs/species_images/doc5661.jpg,https://ecos.fws.gov/docs/species_images/doc5661.jpg,"POLYGON((-106.377648332898 32.000000058503,-106.377648332898 34.3472903334535,-103.5097083335 34.3472903334535,-103.5097083335 32.000000058503,-106.377648332898 32.000000058503))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Koster's springsnail,Juturnia kosteri,Snails,Endangered,Domestic,/docs/species_images/doc6334.jpg,https://ecos.fws.gov/docs/species_images/doc6334.jpg,"POLYGON((-105.353923236617 32.5187516953749,-105.353923236617 34.0889006658328,-103.509710023032 34.0889006658328,-103.509710023032 32.5187516953749,-105.353923236617 32.5187516953749))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Knowlton's cactus,Pediocactus knowltonii,Flowering Plants,Endangered,Domestic,/docs/species_images/doc5070.jpg,https://ecos.fws.gov/docs/species_images/doc5070.jpg,"POLYGON((-109.046192860123 36.0003016000709,-109.046192860123 37.3114656831971,-107.173261006772 37.3114656831971,-107.173261006772 36.0003016000709,-109.046192860123 36.0003016000709))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Kincaid's Lupine,Lupinus sulphureus ssp. kincaidii,Flowering Plants,Threatened,Domestic,/docs/species_images/doc5067.jpg,https://ecos.fws.gov/docs/species_images/doc5067.jpg,"POLYGON((-123.820817249254 42.6992267547332,-123.820817249254 46.7944133281297,-121.35230136867 46.7944133281297,-121.35230136867 42.6992267547332,-123.820817249254 42.6992267547332))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Key Largo woodrat,Neotoma floridana smalli,Mammals,Endangered,Domestic,/docs/species_images/doc4810.jpg,https://ecos.fws.gov/docs/species_images/doc4810.jpg,"POLYGON((-82.9874883330579 24.3962976760552,-82.9874883330579 25.8056869986713,-80.1502385116894 25.8056869986713,-80.1502385116894 24.3962976760552,-82.9874883330579 24.3962976760552))",United States,The Key Largo woodrat eats fruits and leaves.,"The Key Largo woodrat lives in tropical hardwood hammock, also known as ""rock hammock"".  This habitat is characterized by subtropical vegetation.",No information available,No information available,"Key Largo woodrats are not very social unless breeding is taking place.  Females care for young and generally only have a litter of two pups, twice a year.","The Key Largo woodrat is a medium-sized (2OO-26O gram) small mammal with a gray-brown back and head. Its belly, chest, and throat are white, and the tail is hairy. This species is a noctural herbivore, feeding on the buds, leaves, and fruit of many plant species. Food may be stored in the stick nests built by this species.",200
Key deer,Odocoileus virginianus clavium,Mammals,Endangered,Domestic,/docs/species_images/doc4914.jpg,https://ecos.fws.gov/docs/species_images/doc4914.jpg,"POLYGON((-82.9874883330579 24.3962976760552,-82.9874883330579 25.8056869986713,-80.1502385116894 25.8056869986713,-80.1502385116894 24.3962976760552,-82.9874883330579 24.3962976760552))",United States,No information available,No information available,No information available,No information available,No information available,"This is the smallest race of North American deer. Adults measure 25 to 30 inches at the shoulder and have an average weight of 55 to 75 pounds for males and 45-65 pounds for females. The body is stockier, legs shorter, and skull wider than other races of white-tailed deer. The coat varies from a deep reddish brown to a grizzled, gray color. Bucks usually have antlers by their second year, and eight points by the fifth. The Key deer's primary food source is the red mangrove (Rhizophora mangle), but approximately 6O other plants are also known to form part of its diet. Possibly most of the available plant species are used at one time or another. The selection of some food plants changes seasonally, probably reflecting availability and nutritional needs. Other plants are browsed almost continuously resulting in their stunting and near extirpation. 
",200
